date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:57:59	103619/103619	---M-Z	200	added ('OK')	text/html	etag:%22194c3-54a5ce4d27e00-gzip%22	https://wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin-minimal/index.html	C:/My%20Web%20Sites/admin5/wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin-minimal/index.html	(from )
21:58:02	114/114	---M-Z	200	added ('OK')	text/plain	date:Sat,%2013%20May%202017%2018:58:00%20GMT	https://wrappixel.com/robots.txt		(from )
21:58:02	17231/17231	---M--	200	added ('OK')	image/png	etag:%22434f-54a5a4ba26800%22	https://wrappixel.com/ampleadmin/ampleadmin-html/plugins/images/favicon.png	C:/My%20Web%20Sites/admin5/wrappixel.com/ampleadmin/ampleadmin-html/plugins/images/favicon.png	(from https://wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin-minimal/index.html)
21:58:03	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221d970-54a5cf6b42100-gzip%22	https://wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin-minimal/bootstrap/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/admin5/wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin-minimal/bootstrap/dist/css/bootstrap.min.css	(from https://wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin-minimal/index.html)
21:58:05	781/781	---M-Z	200	added ('OK')	text/css	etag:%2230d-54a5a9328f400-gzip%22	https://wrappixel.com/ampleadmin/ampleadmin-html/plugins/bower_components/sidebar-nav/dist/sidebar-nav.min.css	C:/My%20Web%20Sites/admin5/wrappixel.com/ampleadmin/ampleadmin-html/plugins/bower_components/sidebar-nav/dist/sidebar-nav.min.css	(from https://wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin-minimal/index.html)
21:58:06	4910/4910	---M-Z	200	added ('OK')	text/css	etag:%22132e-54a5a9a500200-gzip%22	https://wrappixel.com/ampleadmin/ampleadmin-html/plugins/bower_components/toast-master/css/jquery.toast.css	C:/My%20Web%20Sites/admin5/wrappixel.com/ampleadmin/ampleadmin-html/plugins/bower_components/toast-master/css/jquery.toast.css	(from https://wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin-minimal/index.html)
21:58:08	509/509	---M-Z	200	added ('OK')	text/css	etag:%221fd-54a5a59f08400-gzip%22	https://wrappixel.com/ampleadmin/ampleadmin-html/plugins/bower_components/morrisjs/morris.css	C:/My%20Web%20Sites/admin5/wrappixel.com/ampleadmin/ampleadmin-html/plugins/bower_components/morrisjs/morris.css	(from https://wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin-minimal/index.html)
21:58:08	10878/10878	---M-Z	200	added ('OK')	text/css	etag:%222a7e-54a5a768cbc00-gzip%22	https://wrappixel.com/ampleadmin/ampleadmin-html/plugins/bower_components/chartist-js/dist/chartist.min.css	C:/My%20Web%20Sites/admin5/wrappixel.com/ampleadmin/ampleadmin-html/plugins/bower_components/chartist-js/dist/chartist.min.css	(from https://wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin-minimal/index.html)
21:58:10	795/795	---M-Z	200	added ('OK')	text/css	etag:%2231b-54a5a7a204300-gzip%22	https://wrappixel.com/ampleadmin/ampleadmin-html/plugins/bower_components/chartist-plugin-tooltip-master/dist/chartist-plugin-tooltip.css	C:/My%20Web%20Sites/admin5/wrappixel.com/ampleadmin/ampleadmin-html/plugins/bower_components/chartist-plugin-tooltip-master/dist/chartist-plugin-tooltip.css	(from https://wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin-minimal/index.html)
21:58:11	24457/24457	---M-Z	200	added ('OK')	text/css	etag:%225f89-54a5a768cbc00-gzip%22	https://wrappixel.com/ampleadmin/ampleadmin-html/plugins/bower_components/calendar/dist/fullcalendar.css	C:/My%20Web%20Sites/admin5/wrappixel.com/ampleadmin/ampleadmin-html/plugins/bower_components/calendar/dist/fullcalendar.css	(from https://wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin-minimal/index.html)
